country,city,long,lat,yead_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment,,
Germany,Bopfingen,10.35417,48.85847,1069,1069,1942,30,30,,,,,בופפינגן,,,,https://he.wikipedia.org/wiki/%D7%91%D7%95%D7%A4%D7%A4%D7%99%D7%A0%D7%92%D7%9F,,,
Germany,Bopfingen,10.35417,48.85847,0,,1942,30,30,,,,,בופפינגן ,,,,https://he.wikipedia.org/wiki/%D7%91%D7%95%D7%A4%D7%A4%D7%99%D7%A0%D7%92%D7%9F,,,
Germany,Bopfingen,10.35417,48.85847,1349,1349,1942,30,30,,,,,בופפינגן ,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bopfingen,10.35417,48.85847,1241,1241,1545,30,30,,,,,בופפינגן ,,,,EhemaligeSynagogeOberdorf-Katalog-englisch-2013.pdf,,,
Germany,Boppard,7.58992,50.23085,1075,1075,1942,30,30,,,,,בופארד,,,,https://www.jewishvirtuallibrary.org/boppard-jewish-virtual-library,,,
Germany,"Boppard, Boppart",7.58992,50.23085,1349,1349,1942,30,30,,,,,בופארד,,,,BLACK DEATH - JewishEncyclopedia.com,,,
France,Bordeaux,-0.5800364,44.841225,300,300,1942,30,30,,,,,בורדו,,,,https://he.wikipedia.org/wiki/%D7%91%D7%95%D7%A8%D7%93%D7%95,,,
France,Bordeaux,-0.5800364,44.841225,0,,1942,30,30,,,,,בורדו,,,,https://jguideeurope.org/en/region/france/the-southwest/bordeaux/,,,
Czech,"Boskovice, Boskowit, Boskovɪtsɛ",16.65997,49.48751,0,,1942,30,30,,,,,בוסקוביצה,,,,"https://encyclopedia.yivo.org/article/349#:~:text=Boskovice%20%28Ger.%2C%20Boskowitz%29%20is%20one%20of%20the%20oldest,cemetery%20dates%20to%20at%20least%20the%20sixteenth%20century.",,,
Czech ,"Boskovice, Boskowitz",16.65997,49.48751,1069,1069,1942,30,30,,,,,קהילת יהודי בוסקוביצה,,,,https://dbs.anumuseum.org.il/skn/he/c6/e217716/%D7%9E%D7%A7%D7%95%D7%9D/%D7%91%D7%95%D7%A1%D7%A7%D7%95%D7%91%D7%99%D7%A6%D7%94,,,
France,Bourges,2.398932,47.0805693,568,568,1942,30,30,,,,,בורז',,,,https://www.jewishencyclopedia.com/articles/3605-bourges,,,
Belguim,Brabant,,,1349,1349,1942,30,30,,,,,,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Brandenburg,13.2461296,52.8455492,1349,1349,1942,30,30,,,,,,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Brandenburg,13.2461296,52.8455492,1260,1260,1942,30,30,,,,,בראנדנבורג,,,,https://www.jewishvirtuallibrary.org/brandenburg,,,
